text	category	region	language	cultural_score	quality_score
"Official status
Dialects
Phonology
Consonants
15/05/2025, 12:32
Santali language - Wikipedia
https://en"	language	Unknown	Santali	3	2.912621359223301
"Location map of the study area 
 
 
THE CONCEPT OF PEACE AND VALUES IN SANTALI CULTURE:  A STUDY IN THE"	language	Unknown	Santali	3	2.912621359223301
"[5]
Historical development
Early influences
15/05/2025, 12:33
Santali literature - Wikipedia
https://en"	language	Unknown	Santali	3	2.912621359223301
"”6  
Their are many Santal writers  who have spent their valuable time for this language and literature"	language	Unknown	Santali	3	2.912621359223301
"Sometimes the 
puppeteer is accompanied by tribal musical instruments"	festival	Unknown	Santali	2	2.898550724637681
"Pandith Raghunath
Murmu hopes that all Santals would adopt his script"	language	Unknown	Santali	2	2.898550724637681
"To communicate with the respondents a Santali teacher 
assisted a lot"	language	Unknown	Santali	2	2.898550724637681
The effect can be seen in terms of language, traditions, customs, etc	customs	Unknown	Santali	2	2.898550724637681
"280 
 
Santali Kahani Mala 
(Story Collection) 
By Mahadev Hansda 
Pp"	language	Unknown	Santali	2	2.898550724637681
"110 
 
Chhatrapati Kiskuraj (Santali Play) 
By ShyamsundraHembram 
Pp"	language	Unknown	Santali	2	2.898550724637681
Doing this research will benefit the Santal literature and the nation	language	Unknown	Santali	2	2.898550724637681
"Choksi, ‘Scripting the Border: Script Practices and Territorial Imagination among
Santali Speakers in Eastern India’, International Journal of the Sociology of Language, Vol"	language	Unknown	Santali	5	2.8901734104046244
"org/wiki/Santali_language
4/23
Distribution of Santali language in the states of India[12]
Jharkhand (44"	language	Jharkhand	Santali	3	2.8846153846153846
"'
Auxiliary verb constructions
Negation
Syntax
15/05/2025, 12:32
Santali language - Wikipedia
https://en"	housing	Unknown	Santali	3	2.8846153846153846
"The Santali
people are educationally advanced
community in comparison to other
backward tribes of Odisha"	gender	Odisha	Santali	3	2.8846153846153846
"Ritual Friendships as a Means of Understanding the Cultural Exchanges Between 
Santal and Hindu Cultures"	customs	Unknown	Santali	3	2.8846153846153846
"It will inspire them to know more about 
literature, history, customs, culture, traditions, and identity"	customs	Unknown	Santali	3	2.8846153846153846
"Living on the Edge: The
Predicament of a Rural Indigenous Santal Community in
Bangladesh (https://tspace"	gender	Unknown	Santali	3	2.8846153846153846
"Santali literature is written by word of mouth and has been 
preserved in the  memory of ages and epochs"	language	Unknown	Santali	3	2.8846153846153846
"[5]
Santali was a mainly oral language until developments were made by European missionaries to
write it in Bengali, Odia and Roman scripts"	language	West Bengal	Santali	4	2.877697841726619
"Ol Chiki is alphabetic, sharing none of the syllabic properties of the
other Indic scripts, and is now widely used to write Santali in India"	language	Unknown	Santali	4	2.857142857142857
"It‟s 
alarming in general message for Santal community as well as for the indigenous 
groups of the world"	gender	Unknown	Santali	3	2.857142857142857
"Santal culture is being marginalized by 
the mainstream Bangla culture"	customs	Unknown	Santali	2	2.857142857142857
"Not having enough land of their own to practice their culture (88%) 
2"	customs	Unknown	Santali	2	2.857142857142857
(1986) Modernization and ritual: Identity and Change in Santal Society	customs	Unknown	Santali	2	2.857142857142857
"Department of
Regional and Tribal Languages, Ranchi: Ranchi
University"	gender	Unknown	Santali	2	2.857142857142857
"Here, the word 'reality' means Santals' daily activities, practices, traditions, culture, 
customs, and whatever they do in their daily life"	customs	Unknown	Santali	4	2.857142857142857
"The tales show that Santal men's attitudes towards women are 
negative"	gender	Unknown	Santali	2	2.857142857142857
"""Luguburu: Ritual, Pilgrimage and Quest for Identity among the Santals"	customs	Unknown	Santali	2	2.857142857142857
"His works on Santali grammar 
and literature are extensively valued and appreciated in all over the world"	language	Unknown	Santali	3	2.857142857142857
"The festival is celebrated by all the
Santals except Christian Santals"	festival	Unknown	Santali	2	2.857142857142857
"Keyword : - Santal Culture, Indigenous Identity, Cultural Preservation, Land Rights, Cultural Revival
 
1"	customs	Unknown	Santali	3	2.857142857142857
"""Understanding the Indigenous and Tribal Peoples Convention,"" 1989 (No"	customs	Unknown	Santali	2	2.857142857142857
"The
activities of this family has led them far away from
their traditional culture, in gaining equal status as the
non-tribals in the society"	festival	Unknown	Santali	4	2.8368794326241136
[2][3] Santali literature is composed in two broad styles- ᱠᱟᱹᱛᱷᱱᱤ (Kạthni-prose), ᱜᱟᱹᱛᱷᱱᱤ (Gạthni-poetry)	language	Unknown	Santali	3	2.8301886792452833
"And Santali women are dresses
with a larger piece of cloth or sari the white sari with red border is a common used during the time
of festival"	gender	Unknown	Santali	4	2.8169014084507045
"“Cultural Influences on Early Language and 
Literacy Teaching Practices"	customs	Unknown	Santali	2	2.8169014084507045
"He studied their 
culture, traditions and learnt their language as well"	festival	Unknown	Santali	2	2.8169014084507045
"Impact Study on Introduction of Ol Chiki
Script in 30 Schools of Orissa"	language	Unknown	Santali	2	2.8169014084507045
"The rich elite class people do construct their house
out of the village"	housing	Unknown	Santali	2	2.8169014084507045
"'
Nominal verbalisation
Serial verb constructions
15/05/2025, 12:32
Santali language - Wikipedia
https://en"	housing	Unknown	Santali	3	2.803738317757009
"250
Photographs by:
Gopal Poddar
Music and dance are an integral part of the 
life of the Santhal community"	festival	Unknown	Santali	3	2.803738317757009
"Bodding translated both the Old Testament and New Testament 
of the Bible into the Santali language by 1914"	gender	Unknown	Santali	3	2.803738317757009
Santal Music: A Study in Pattern and Process of Cultural Persistence, Tribal Studies of India Series; T 115	festival	Unknown	Santali	3	2.803738317757009
"Literary practice  in this language has been practiced since ancient times in  the form of folk 
literature"	language	Unknown	Santali	3	2.803738317757009
"The Santals have their own independent language known as Santali which belongs to the Munda, Ho, Mahli, Bhumij, and 
Kharia family of languages"	gender	Unknown	Santali	4	2.797202797202797
"They have identified several issues defining Santal identity as 
Luguburu Pilgrimage, Baha Festival, Sarna Dharma, and Ol'Chiki language script"	festival	Unknown	Santali	4	2.797202797202797
"Eventually, the Ol Chiki script was developed by
Raghunath Murmu in 1925"	language	Unknown	Santali	2	2.7777777777777777
"3 Dress of santal people:
The Santali cultures are very interesting and identity of Indian tradition culture"	festival	Unknown	Santali	3	2.7777777777777777
"The missionary acknowledged Murmu’s knowl-
edge of oral literature and his ability to write Santali fluently"	language	Unknown	Santali	3	2.7777777777777777
2006 – “Indigenous Knowledge : Implication in Tribal Health and Disease”	customs	Unknown	Santali	2	2.7777777777777777
"1 Language 
SUBSIDENCEOFTHESANTALCULTURE:PERSPECTIVERAJ
SHAHI 
*Corresponding Author:Rahul Kumar Dutta Pinku"	customs	Unknown	Santali	3	2.7777777777777777
NGOs must work with responsibility for the Santal community, and preservation of their culture and tradition	festival	Unknown	Santali	3	2.7777777777777777
"The ritualistic ceremony starts from the 
house of the headman or priest, where the 
whole village assembles"	festival	Unknown	Santali	3	2.7777777777777777
"Bonga Related Tales 
Bonga is a Santali word that means 'spirit' or 'god"	language	Unknown	Santali	2	2.7777777777777777
"Kumar Rajesh, Santal Folk Dance Songs – Contextualizing Art & Culture, Kalpaz publications, New Delhi, 
2019"	festival	Unknown	Santali	3	2.7777777777777777
"It is clearly known 
that Santali stories are about the creation, spread, scope and boundaries of literature"	language	Unknown	Santali	3	2.7777777777777777
"The Santals are the major tribal group
concentrating in Birbhum district"	customs	Unknown	Santali	2	2.7777777777777777
"Santal girls are found to perform on famous Hindi
and Bengali film music"	festival	West Bengal	Santali	2	2.7777777777777777
Official Photograph of National Recognition of Santali Released by the P	language	Unknown	Santali	2	2.7777777777777777
"net/10050/00-0000-0000-0003-A6AF-2@view)
Grammars and primers
Literature
External links
15/05/2025, 12:32
Santali language - Wikipedia
https://en"	language	Unknown	Santali	4	2.7586206896551726
"Traditional Santali literature includes a rich collection of folk tales, myths, and legends that have been
orally transmitted through generations"	language	Unknown	Santali	4	2.7586206896551726
"4 Marriage system and ritual:
Marriage is a social institution, which involved man and women to a family life"	gender	Unknown	Santali	3	2.7522935779816518
"Some young Santals are coming forward to practice literature, 
even though their number is significantly less"	language	Unknown	Santali	3	2.7522935779816518
", Kumar Rajesh, Santal Folk Dance Songs – Contexualizing Art & Culture, Kalpaz publications, New Delhi, 
2019"	festival	Unknown	Santali	3	2.7522935779816518
"At that time, he became very attracted to the language, culture, dance, songs, 
rhymes, riddles, stories, etc"	festival	Unknown	Santali	3	2.7522935779816518
"Santal whether men or women is
capable of speaking Bengali, the regional language
of this area, very fluently"	gender	West Bengal	Santali	3	2.7522935779816518
"'
The unmarked word order of Santali is SOV, though topics can be fronted"	language	Unknown	Santali	2	2.73972602739726
Description: The leaf plates and bowls are normally prepared by the women	gender	Unknown	Santali	2	2.73972602739726
"In the
present scenario Santali has been taught
from school to university"	language	Unknown	Santali	2	2.73972602739726
"""Is Witchcraft a Suppressed Desire of Women Empowerment in Santal Society"	gender	Unknown	Santali	2	2.73972602739726
"As a consequence, the West 
Bengal Santals have the Bengali form of Santali language while the Oriya script has 
been used by the Santals of Orissa"	language	West Bengal	Santali	4	2.7210884353741496
"The Santals cleared 
the jungles for agriculture purpose, but they did not get the ownership of land and their traditional Mandali system 
declined"	farming	Unknown	Santali	4	2.7210884353741496
"Culshaw’s book Tribal Heritage, and his articles have helped a lot in promoting a better understanding of 
Santal's religious beliefs and practices"	customs	Unknown	Santali	4	2.7210884353741496
"The script became a way to recover Adivasi sensitivity, expressed in the reson-
ance (sade) of Santali language, proffering value to Santal sounds as is done in
echo words and in music"	language	Unknown	Santali	5	2.717391304347826
"or
g/resource/languo
id/id/sant1410) 
Santali
maha1291 (http
s://glottolog"	language	Unknown	Santali	2	2.7027027027027026
"com/news/wire-news/santali-films-not-getting-govern
ment-help-aisfa_667637"	gender	Unknown	Santali	2	2.7027027027027026
"— Norman Zide, A portal for Santals[1]
The Ol Chiki script was created in 1925 by Raghunath Murmu for the Santali language, and
publicized first in 1939 at a Mayurbhanj State exhibition"	language	Unknown	Santali	5	2.7027027027027026
"Based on the 
above, we have to take note of all these issues for future planning relating to Santali 
language"	language	Unknown	Santali	3	2.7027027027027026
The village of Jobradaga86 in Hazaribagh (Jharkhand) has a Santal majority	social	Jharkhand	Santali	2	2.7027027027027026
"These traits are still prevalent 
in the village, where the community live"	social	Unknown	Santali	2	2.7027027027027026
"There is also the practice
of the son-in-law staying in his in-law’s house"	housing	Unknown	Santali	2	2.7027027027027026
"During this feast, they make merriment with jokes,
songs, dances and music"	festival	Unknown	Santali	2	2.7027027027027026
"2010 
Doctoral thesis 
Explores predicament of a Santal 
community 
Dey, A"	gender	Unknown	Santali	2	2.7027027027027026
Socio-cultural Behaviour of the Tribal and Indigenous People of Bangladesh	customs	Unknown	Santali	2	2.7027027027027026
"He is married to a Santal girl from
Purulia who can’t speak Santali at all"	language	Unknown	Santali	2	2.7027027027027026
"Description: A typical Santal house consists of several extensional sheds and small rooms within a 
square space"	housing	Unknown	Santali	3	2.6785714285714284
"64 In Bengal, Santals aspiring to middle class status prefer to write Santali in Eastern Brahmi
(Bengali) script"	language	West Bengal	Santali	3	2.6785714285714284
"Living on the Edge: The Predicament of a Rural Indigenous SantalCommunity in Bangladesh (Doctoral 
dissertation)"	gender	Unknown	Santali	3	2.6785714285714284
"Folk 
tales are a part of folklore, where folklore refers to the traditional beliefs and 
stories of a community"	customs	Unknown	Santali	3	2.6785714285714284
", S Kumar Rajesh, Santal Folk Dance Songs – Contextualizing Art & Culture, Kalpaz publications, 
New Delhi, 2019"	festival	Unknown	Santali	3	2.6785714285714284
"""
The
two
ranis
then
left,
and calling
7
'
* Lelha in Santali means foolish"	language	Unknown	Santali	2	2.666666666666667
This is an initiative to preserve and strengthen the best of Santal culture	customs	Unknown	Santali	2	2.666666666666667
Description: Sakom is made of silver and it is worn by women on both wrists	gender	Unknown	Santali	2	2.666666666666667
"This region serves as the ancestral home of the Santal indigenous 
community, an esteemed and time-honored tribal group within Bangladesh (Azad, 2003)"	gender	Unknown	Santali	4	2.666666666666667
"Then British officials attracted attention to
Santals who were ready to clear the forests for settled agriculture"	farming	Unknown	Santali	3	2.6548672566371683
"In the
ATDC's view, the recognition of Ol Chiki
functioned more as a propaganda term than it
referred to the actual issue concerning the Santali
script"	language	Unknown	Santali	4	2.6490066225165565
"Their main thrust 
is education, but they also work in the area of health care, agriculture, biological farming, vocational training 
and Santal culture"	farming	Unknown	Santali	4	2.631578947368421
"This 
study has brought out how the community has maintained their culture, 
tradition, customs and their religion"	customs	Unknown	Santali	3	2.631578947368421
"This literature is fading due to a lack of practice, 
globalization, and ignorance of Santals about its importance"	language	Unknown	Santali	3	2.631578947368421
"They highlight their ethnic characters, traditions, 
cultures, festivals, rituals, and many aspects of their lives"	festival	Unknown	Santali	3	2.631578947368421
The young generations of Santals have no experience in tale-telling practice	customs	Unknown	Santali	2	2.631578947368421
"It is one of the 22 scheduled languages of India[1] and is written in the indigenous script called Ol
Chiki script"	language	Unknown	Santali	3	2.631578947368421
"How did 
this language and literature survive  through oral practice and how did it get constitutional recognition"	language	Unknown	Santali	3	2.631578947368421
"Keyword: Santali, Vocabulary Folk literature, Languages, Ancient 
Introduction: The Santali language is an important part of the  Austric language group"	language	Unknown	Santali	4	2.631578947368421
"That does  
not mean that this literature was not practiced in ancient times"	language	Unknown	Santali	2	2.631578947368421
"Following this, several other missionaries and Santal
scholars contributed to the development of Santali literature"	language	Unknown	Santali	3	2.608695652173913
They traditionally accompany many of their dances during these festivals with two drums: the Tamak‘ and the Tumdak’	festival	Unknown	Santali	3	2.608695652173913
"35 In the 1870s, Skrefsrud taught Santal collaborators to write Santali, using Roman script with
diacritical marks for the specific sounds of the language"	language	Unknown	Santali	4	2.5974025974025974
"There are seven traditional forms of 
marriage present among the Santals:- 
1"	festival	Unknown	Santali	2	2.5974025974025974
"11
The most recent Santali Dictionary (2001)was
produced by Ganesh Murmu, Dpt"	language	Unknown	Santali	2	2.5974025974025974
MacPhail‟s “An Introduction to Santali”, Parts I and II was published in 1953	language	Unknown	Santali	2	2.5974025974025974
"The Santals have also practice
to adopt a male child if they have no children"	customs	Unknown	Santali	2	2.5974025974025974
"It is
observed that the family structure in Santal society is
majorly nuclear"	gender	Unknown	Santali	2	2.5974025974025974
"The endeavours of tribal leaders 
to promote tribal and script languages have evolved as an instrument of opposition"	gender	Unknown	Santali	3	2.586206896551724
"Kumar Rajesh, Santal Folk Dance Songs – Contextualizing Art & Culture, Kalpaz publications, New Delhi, 
2019 
 
● Dr"	festival	Unknown	Santali	3	2.586206896551724
"About a year after arrival at Mohulpahari a man was sent to him in his work in connection with the Santali 
language"	language	Unknown	Santali	3	2.586206896551724
"Lungi Panchi Dance of Santal in
Birbhum, West Bengal
Local affairs are handled by a village council, led by a manjhi"	festival	West Bengal	Santali	3	2.586206896551724
"European interest in the study of the
languages of India led to the first efforts at documenting the Santali language"	gender	Unknown	Santali	3	2.564102564102564
"After cooking of rice,
they put into the water and take whole day in it’s and it called “Da Madi” in Santali language"	language	Unknown	Santali	3	2.564102564102564
"SANTALI 
NOVEL 
Abela 
(Award winning Bengali novel Asamaya) 
By Bimal Kar 
Tr"	language	West Bengal	Santali	2	2.564102564102564
"“Typology of Language Change and
Maintenance Among the Santals and Mundas” (pp"	customs	Unknown	Santali	2	2.564102564102564
"They reflect the life of the 
people belonging to ethnic societies, their beliefs, customs, cultures and way 
of life"	customs	Unknown	Santali	3	2.564102564102564
"They have two 
major language scripts: Roman and Ol'Chiki scripts for writings"	language	Unknown	Santali	2	2.564102564102564
"""Interface between Nature and Culture: Exploring Santal Viewpoints in the Past"	customs	Unknown	Santali	2	2.564102564102564
"According to  Linguist  Lakhan Chandra Hembram, Santali 
Literature can be  divided into four parts according to time"	language	Unknown	Santali	3	2.564102564102564
"Changing Pattern of Santali Language 
147 
Relations among Language, Practices and Experiences in Santal Community 
Santals are using Santali, Bangla and Roman languages for everyday communication"	gender	Unknown	Santali	5	2.5510204081632653
"The
Santal village, being the most traditional and ancient
institution, crystallized a whole system of social,
political, and ritual structures (Murmu, 2004)"	customs	Unknown	Santali	4	2.547770700636943
"James Tudo does not know 
as to how to write Santali language, but he can write and speak Bangla and English 
properly"	language	Unknown	Santali	3	2.5423728813559325
"For them,
the denial of women’s ritual initiatives is coherent with Santal ideology
which excludes women from learning"	gender	Unknown	Santali	3	2.5423728813559325
"Their villages are located mostly in 
forested areas, where members hunt, fish or clear the land for rice 
agriculture"	farming	Unknown	Santali	3	2.5423728813559325
"In the 
judicial system of the Santal community, three positions are generally reserved for women known as budhi hadam"	gender	Unknown	Santali	3	2.5423728813559325
"title=Santali_literature&oldid=1284874515""
Further reading
15/05/2025, 12:33
Santali literature - Wikipedia
https://en"	language	Unknown	Santali	3	2.5423728813559325
"But, Santal community itself has come out of their traditional 
practices by using three languages and as such they are now moving forward with 
their higher education relating to modern technology"	customs	Unknown	Santali	5	2.5380710659898478
"Somenath Patnaik
National Translation Mission's (NTM) Santali Pages (http://www"	gender	Unknown	Santali	2	2.5316455696202533
"* Dative
is used
in
Santali when we m
English would use for,
at', top
m, etc,
("	language	Unknown	Santali	2	2.5316455696202533
1961, Bitlaha a santal ritual, the quarterly journal of mythic society, 52, 1-5	customs	Unknown	Santali	2	2.5316455696202533
"Beside agriculture they 
also domesticate animals like cows, buffaloes and pigs"	farming	Unknown	Santali	2	2.5316455696202533
Now the Santals have the life of agriculturists and lead a settled village life	social	Unknown	Santali	2	2.5316455696202533
"Need of study  :  
Through the above discussion a clear idea about the history of Santali story literature was obtained"	language	Unknown	Santali	3	2.5210084033613445
"He devoted most of his time to the development of Santali 
literature and was responsible for improving written Santali"	language	Unknown	Santali	3	2.5210084033613445
"At this time it was determined in 
the minds of the native writers  that Santali literature Should reach a higher place"	language	Unknown	Santali	3	2.5210084033613445
"Thanks to their outstanding 
contribution Santali language and literature  have become much richer This language is use worlds wide today 
for their activities"	language	Unknown	Santali	4	2.515723270440252
"or
g/resource/languo
id/id/maha1291) 
Mahali
The Ol Chiki script was created for Santali by Mayurbhanj poet Raghunath Murmu in 1925 and first
publicised in 1939"	language	Unknown	Santali	4	2.5
"org/wiki/Santali_language
3/23
Santali books in Mayurbhanj Book Fair
Santali has eight oral and six nasal vowel phonemes"	language	Unknown	Santali	3	2.5
"The santal flower festival ‘Celebrating Man’s Communion with Nature’ West
Bengal"	festival	West Bengal	Santali	2	2.5
"Present in every village, the grove has become emblematic of
indigenous religion"	social	Unknown	Santali	2	2.5
"The reason to concentrate on Santali for the
comparative study of language movements in
Orissa shall be briefly outlined"	gender	Unknown	Santali	3	2.5
A Santal male has some specific traditional rites and celebrations on his behalf	festival	Unknown	Santali	2	2.5
"On the second day of the festival all 
villagers offer prayers in their cowsheds"	festival	Unknown	Santali	2	2.5
"Literature Reviews: 
The works on Santal folktales and literature are inadequate"	language	Unknown	Santali	2	2.5
Women's treatment- the tales show that Santal society has always neglected women	gender	Unknown	Santali	2	2.5
"Santali folklore is also known as a 
foundation of education among the ancestors"	language	Unknown	Santali	2	2.5
"Thus Santal youths are
becoming more modern in their outlook at the cost of
eroding their deep rooted age-old culture and
traditional customs of their ancestors"	customs	Unknown	Santali	4	2.5
"Beside, Santali 
literature has been revived due to the outstanding contribution of many other valuable poets and writers"	language	Unknown	Santali	3	2.479338842975207
"'
There are three particles in Santali used to express negation: baŋ, ɔhɔ and alo"	language	Unknown	Santali	2	2.4691358024691357
"Much to the
cheer and excitement of the large Santali tribal population of the
State, Orissa will have its first full-length feature film in Santali
language soon"	gender	Unknown	Santali	4	2.4691358024691357
"The 
Santals cottage stands on the both side of a straggling Kulhi (village road)"	social	Unknown	Santali	2	2.4691358024691357
"3 The Santal Festival and Amusement 
The Santals prefer group performance to solo"	festival	Unknown	Santali	2	2.4691358024691357
"43
Santali, Mundari, Ho, Kharia, Kurukh, Nagpuri,
Kurmali, Khortha, Panchpargania"	language	Unknown	Santali	2	2.4691358024691357
"There are many articles about the Santals but very 
little about their literature"	language	Unknown	Santali	2	2.4691358024691357
"Development programmes and the tribal:
A study on the Santals of Birbhum district"	gender	Unknown	Santali	2	2.4691358024691357
"Santali 
language is a member of the North Munda subgroup and belongs to the Austro-
Asiatic language group (Anderson 749)"	language	Unknown	Santali	3	2.459016393442623
"I would hold that the richness of language makes up for the poverty of his-
tory in granting a real culture to the Santals"	customs	Unknown	Santali	3	2.459016393442623
"Music and dance 
The Santhals have their own instruments and they are used during 
festivals, weddings and other occasions"	festival	Unknown	Santali	3	2.459016393442623
"The Karma Festival is celebrated 
by the community with much gaiety after the 
completion of the rituals connected with it"	festival	Unknown	Santali	3	2.459016393442623
"[27]
Vowels
Word prominence
Vowel harmony
Morphology
Nouns
Number
15/05/2025, 12:32
Santali language - Wikipedia
https://en"	language	Unknown	Santali	3	2.4390243902439024
"""L2/05-243R: Final proposal
to encode the Ol Chiki script in the UCS"" (https://www"	language	Unknown	Santali	2	2.4390243902439024
"These effects on language in turn affect the 
culture of the language in many ways"	customs	Unknown	Santali	2	2.4390243902439024
"Language is one of those global weapons which are playing a crucial role 
for changing linguistic aspects of Santali people"	gender	Unknown	Santali	3	2.4390243902439024
"In the states where Santali is spoken, little public
education is offered in the language, which is often seen as a dialect"	language	Unknown	Santali	3	2.4390243902439024
"The Santhal festivals are always accompanied with 
traditional home-made rice beer"	festival	Unknown	Santali	2	2.4390243902439024
"com/todays-paper/tp-national/Tribals-celebrate-Hool-Maha-festival/article1654452
7"	festival	Unknown	Santali	2	2.4390243902439024
"Analogous division of the santhal: 
The types of household that is seen among the Santals are join family and single family"	gender	Unknown	Santali	3	2.4390243902439024
"Santhal women dress in the red bordered 
white sari and dance in the line sequence"	gender	Unknown	Santali	2	2.4390243902439024
"1 Santal Culture 
Here, some main facets of the Santal culture are being discussed"	customs	Unknown	Santali	2	2.4390243902439024
"“The Dasai dance is performed only by males of the community on festive 
occasions"	festival	Unknown	Santali	2	2.4390243902439024
"“Questions on the Linguistic
Characteristics of the Tribal Languages of India”
(pp"	customs	Unknown	Santali	2	2.4390243902439024
"He also mentioned that Tagore appreciated the poetic 
beauty of Santali songs (34)"	gender	Unknown	Santali	2	2.4390243902439024
"org 
d106 
 
is, in a word, unparalleled Santali folk stories are about principles"	language	Unknown	Santali	2	2.4390243902439024
After four years Noyes had to leave India, but Phillips stayed and learned Santali	language	Unknown	Santali	2	2.4390243902439024
"Such practise did not persist in
the traditional cultural orbit of Santal marriage"	festival	Unknown	Santali	2	2.4390243902439024
"Santali Language and Constitutional recognition: language is very necessary to move a nation  and 
society forward properly"	language	Unknown	Santali	3	2.4390243902439024
"Language and its 
representation is the most crucial factor, because all small community has its own 
traditions and culture"	festival	Unknown	Santali	3	2.4193548387096775
"Murmu saw his script as a weapon to strengthen Santali and the position of
the Santals in Odisha and the neighbouring states"	language	Odisha	Santali	3	2.4193548387096775
"In the traditional tribal society, 
specific roles were assigned to men and women for cultural norms, traditions 
and values"	gender	Unknown	Santali	3	2.4193548387096775
"On the other hand, these written stories have a special contribution to 
keep the Santali story literature strong and strong"	language	Unknown	Santali	3	2.4193548387096775
"Known as 'Shankar Dada')
Late Bikram Marandi ( Comedy king of Santali film industry"	language	Unknown	Santali	2	2.4096385542168677
"In the 
British period, the Roman alphabet was preferred as written form of Santali"	language	Unknown	Santali	2	2.4096385542168677
„Tribal Cultures in Bangladesh‟ Institute of Bangladesh Studies,Rajshahi University	customs	Unknown	Santali	2	2.4096385542168677
B) What can be the ways to eradicate the problems of preservation of Santal culture	customs	Unknown	Santali	2	2.4096385542168677
"In many respects,
Santali can claim a special status among the
languages of India not included in the Eighth
Schedule, as well as among the so-called tribal
languages"	language	Unknown	Santali	4	2.4096385542168677
A number of Santals, in fact, started to write about their culture, traditions, ect	festival	Unknown	Santali	2	2.4096385542168677
"The
economic instability, landlessness and poverty of
Santals favour a small family"	gender	Unknown	Santali	2	2.4096385542168677
"It is evident from studies that Santals community is changing rapidly towards their health, political awareness, 
social customs and beliefs due to impact of education"	customs	Unknown	Santali	4	2.3952095808383236
"The Santali script uses thirty letters and five basic diacritics, including six more basic 
vowels and three additional vowels"	language	Unknown	Santali	3	2.380952380952381
"‘Santal indigenous knowledge, cultural heritage, and the
politics of representation’"	customs	Unknown	Santali	2	2.380952380952381
"In case of such events, the members of the village jump and excrete in 
the houses of the family where this event has happened"	gender	Unknown	Santali	3	2.380952380952381
"It was definitely highly essential for Orissa but 
the Santals did not utilise primary language scripts in Bengal or Jharkhand"	language	Jharkhand	Santali	3	2.380952380952381
It is a matter of joy that they are using their „Hor‟ language among their community	gender	Unknown	Santali	2	2.380952380952381
"Conclusions 
This study has brought out how the community has maintained their 
culture, tradition, customs and their religion"	customs	Unknown	Santali	3	2.380952380952381
"com/2013/06/14/santhal-rebellion-part-i-the-begining/)
Santal Dance (https://archive"	festival	Unknown	Santali	2	2.380952380952381
"The
objective of the study is to portray the transition of traditional culture of Santal of this region to
its modern platform"	festival	Unknown	Santali	3	2.380952380952381
"They reflect Santal's identity in the 
following ways:–  
First, Santal folktales mirror their customs, culture, and traditions"	customs	Unknown	Santali	3	2.3622047244094486
"Campbell established a printing machine, to bring out Santali books to facilitate Santal students to 
study in Santali language"	language	Unknown	Santali	3	2.3622047244094486
"After that, when they  tried to learn  Santal 
properly, they were amazed and fell in love with the literature of that language"	language	Unknown	Santali	3	2.3622047244094486
"Or many Bengali films
were dubbed and released in Santali, which continue to this day"	language	West Bengal	Santali	2	2.3529411764705883
"76 
Description: A hasli is made of silver and it is worn by women around their necks"	gender	Unknown	Santali	2	2.3529411764705883
Men and women have played a special role to maintain ancient traditions, customs, etc	gender	Unknown	Santali	2	2.3529411764705883
"The Hill of Flutes: Life, love and poetry in tribal India: a portrait of the 
Santals"	customs	Unknown	Santali	2	2.3529411764705883
"The Santal women are very much peace loving and 
kind hearted with cooperative nature"	gender	Unknown	Santali	2	2.3529411764705883
"As a result, Santals 
slowly become strangers to these oral traditions and literature"	festival	Unknown	Santali	2	2.3529411764705883
"There are six theories of stories written in Santali Which, is known as - 
1) Content"	language	Unknown	Santali	2	2.3529411764705883
"Being a more
adaptive community, the lifestyle of the Santal here
is not so primitive"	gender	Unknown	Santali	2	2.3529411764705883
"But they have learnt to con-
trol indigenous knowledge and to present themselves as protectors of the
family in village councils"	gender	Unknown	Santali	3	2.34375
"""Social Change in Contemporary Tribal India: Observations from 
Changing Status of Ethnicity and Language Identity among Santals"	customs	Unknown	Santali	3	2.34375
"Not only the practice of  
literature, in this period there is also a stir to get education through this language and literature"	language	Unknown	Santali	3	2.34375
"(2025)
Actress
Directors
Films
15/05/2025, 12:34
Santali cinema - Wikipedia
https://en"	language	Unknown	Santali	2	2.3255813953488373
"Conclusion:
The santal people are the largest community and ethic group in West Bengal"	gender	West Bengal	Santali	2	2.3255813953488373
"Regarding moral degradation the focus groups are of same 
 
 
THE CONCEPT OF PEACE AND VALUES IN SANTALI CULTURE:  A STUDY IN THE"	language	Unknown	Santali	3	2.3255813953488373
"Their language belongs to the 
Munda, Ho, Mahli, Bhumij and Kharia family of languages"	gender	Unknown	Santali	2	2.3255813953488373
"375 
 
TawakTarko(Santali 
Short 
storeis 
under 
Navodaya scheme) 
By Meena Murmu 
Ed"	language	Unknown	Santali	2	2.3255813953488373
The Transition from Oral Tradition to written Literature – the Santals became literate	festival	Unknown	Santali	2	2.3255813953488373
This study shows the subsidence and the problems of the preservation of Santal culture	customs	Unknown	Santali	2	2.3255813953488373
"8 Rationale of the Study 
Santal is one of the most unfortunate indigenous communities"	customs	Unknown	Santali	2	2.3255813953488373
According to the survey, 82% strongly agree that culture is changing among the Santals	customs	Unknown	Santali	2	2.3255813953488373
"7
Concerning the development scale of the
language, Santali certainly ranges among the best
PROMOTING TRIBAL LANGUAGES IN EDUCATION
131
documented tribal languages of India"	gender	Unknown	Santali	4	2.3255813953488373
"The Indian Constitution does not
define or make any provision for the tribal
languages"	customs	Unknown	Santali	2	2.3255813953488373
